position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
91,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,390366,,1,91,new,2017,1
92,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,388678,,1,92,new,2017,1
93,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,383237,,1,93,new,2017,1
94,7hA7pMp2Vr1OCC4sWYwaMG,Our Way,FTampa,382677,,1,94,new,2017,1
95,1cG0umU5TKStygKsPFZ9pY,Shed a Light,Robin Schulz,370449,,1,95,new,2017,1
96,6UZJOc2HBrTp9DYfir9N8n,Regime Fechado - Ao Vivo,Simone & Simaria,361777,,1,96,new,2017,1
97,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,361078,,1,97,new,2017,1
98,4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),Major Lazer,359321,,1,98,new,2017,1
99,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,357657,,1,99,new,2017,1
100,7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),Sia,355260,,1,100,new,2017,1
101,6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,342203,,1,101,new,2017,1
102,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,339192,,1,102,new,2017,1
103,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,331442,,1,103,new,2017,1
104,1Cml3fnCNLZUC1EEtkcgVb,Bang,Anitta,326636,,1,104,new,2017,1
105,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,325597,,1,105,new,2017,1
106,716p41p4BQQuUMgOP8ucpF,Você Foi Diferente,MC G15,320844,,1,106,new,2017,1
107,6bLopGnirdrilrpdVB6Um1,The Greatest,Sia,320517,,1,107,new,2017,1
108,5Bn6W4bwH7Bw5nMvn8V4xF,Essa mina é louca (Participação especial de Jhama),Anitta,317430,,1,108,new,2017,1
109,5XRtwljsug3r3XOBy9Bndu,Tudo de Bom,Mc Livinho,316394,,1,109,new,2017,1
110,4gvePWCd0GfkC40QshflUy,Cheia de Marra,Mc Livinho,316341,,1,110,new,2017,1
111,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,314331,,1,111,new,2017,1
112,5YdC74tZejyq3vurDOLFYz,Sentimento Louco - Ao Vivo,Marília Mendonça,307719,,1,112,new,2017,1
113,6V3J5pbU5yBvB5zxPSyP5v,Pé Direito,Mc Davi,307569,,1,113,new,2017,1
114,7129iqBafaphfc3WPCGC0L,7 Years,Lukas Graham,306208,,1,114,new,2017,1
115,0Or4rCFurYpUxYh0bbpxRY,Solteiro de Novo - Ao Vivo,Wesley Safadão,302861,,1,115,new,2017,1
116,7gHs73wELdeycvS48JfIos,Faded,Alan Walker,301488,,1,116,new,2017,1
117,3pM81OKNrV6d2zJb76nQ6M,Turutum,MC Kevinho,301464,,1,117,new,2017,1
118,1WP1r7fuvRqZRnUaTi2I1Q,Stitches,Shawn Mendes,301342,,1,118,new,2017,1
119,5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,299326,,1,119,new,2017,1
120,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,298351,,1,120,new,2017,1
