position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
161,7zTx8ePYAmPFQuxP3xlXZn,Light,San Holo,103117,,1,161,new,2017,1
162,2eAAEa8pxKF7My0EO4rFgR,Blow Your Mind (Mwah),Dua Lipa,102574,,1,162,new,2017,1
163,2fKEunM0KZVpVLwlvmVlDZ,Fading,Vallis Alps,102506,,1,163,new,2017,1
164,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",G-Eazy,102214,,1,164,new,2017,1
165,1kusepF3AacIEtUTYrw4GV,Paper Planes,M.I.A.,101809,,1,165,new,2017,1
166,3UDXkdQquqCEAJdNAsA1wO,Millionaire (feat. Nelly),Cash Cash,101573,,1,166,new,2017,1
167,7H6ev70Weq6DdpZyyTmUXk,Say My Name,Destiny's Child,101301,,1,167,new,2017,1
168,1jNOi6m3Hn8nLEeHCp5Msr,Seven Nation Army,The White Stripes,100735,,1,168,new,2017,1
169,0XUfyU2QviPAs6bxSpXYG4,Yeah!,Usher,100686,,1,169,new,2017,1
170,1vxw6aYJls2oq3gW0DujAo,Crazy,Gnarls Barkley,100009,,1,170,new,2017,1
171,0gb1J5UrTpzaU1s3nupgCd,No Money,Galantis,99909,,1,171,new,2017,1
172,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,97199,,1,172,new,2017,1
173,1Wuwsq0BK4Abd7gRitOhXl,Be Right There,Diplo,96653,,1,173,new,2017,1
174,6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,Auli'i Cravalho,96625,,1,174,new,2017,1
175,1FUViuNSldssMIawrOXF2i,I Got You,Bebe Rexha,96150,,1,175,new,2017,1
176,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,95995,,1,176,new,2017,1
177,4ZfpHQ2mkA4HYZtVWBfOCK,Set In Stone,Guy Sebastian,95854,,1,177,new,2017,1
178,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,95820,,1,178,new,2017,1
179,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,95420,,1,179,new,2017,1
180,7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,95074,,1,180,new,2017,1
181,77lqbary6vt1DSc1MBN6sx,You Were Right,RÜFÜS DU SOL,94956,,1,181,new,2017,1
182,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,94754,,1,182,new,2017,1
183,13HVjjWUZFaWilh2QUJKsP,Let It Go,James Bay,94357,,1,183,new,2017,1
184,6o4BYWzrQvfaFmQhm8Zq2v,Rather Be (feat. Jess Glynne),Clean Bandit,93713,,1,184,new,2017,1
185,6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,93484,,1,185,new,2017,1
186,0ikz6tENMONtK6qGkOrU3c,Wake Me up Before You Go-Go,Wham!,93123,,1,186,new,2017,1
187,40UroIGvsMPLPBYwH8rMNA,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,92544,,1,187,new,2017,1
188,6Fha6tXHkL3r9m9nNqQG8p,Georgia,Vance Joy,92537,,1,188,new,2017,1
189,5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,92151,,1,189,new,2017,1
190,6rKmnzp0nUpHvjLK7FXSnP,Wolfie (feat. Julia Stone),Golden Features,92007,,1,190,new,2017,1
191,0UeYCHOETPfai02uskjJ3x,Shooting Stars,Bag Raiders,91983,,1,191,new,2017,1
192,0mBKv9DkYfQHjdMcw2jdyI,Chunky,Bruno Mars,91798,,1,192,new,2017,1
193,4yUZPM6OfAY1KJik9rsveW,Hoops,The Rubens,91627,,1,193,new,2017,1
194,6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,91358,,1,194,new,2017,1
195,05Z7jet4VDNVgNQWcYHnrk,Party,Chris Brown,90917,,1,195,new,2017,1
196,7bliRZuMFa2JmUzzNd62kk,Talk Is Cheap,Chet Faker,90914,,1,196,new,2017,1
197,3y9cCbnBn0zjkJa2YkOj70,Black Barbies,Nicki Minaj,90776,,1,197,new,2017,1
198,34i4yxPrHWquuR4kjiivFO,Somebody Else,VÉRITÉ,89958,,1,198,new,2017,1
199,20dP2DaMHIAmwWAbp7peSr,pick up the phone,Young Thug,89869,,1,199,new,2017,1
200,7gZQfdEQpmwAoPHSbEHzms,False Alarm,Matoma,89670,,1,200,new,2017,1
1,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,1667511,,1,1,new,2017,2
2,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,Ed Sheeran,1390845,,1,2,new,2017,2
3,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,950790,1.0,2,1,-2,2017,2
4,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,929797,4.0,2,4,0,2017,2
5,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,918795,2.0,2,2,-3,2017,2
6,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,818585,3.0,2,3,-3,2017,2
7,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,809915,6.0,2,6,-1,2017,2
8,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,790942,5.0,2,5,-3,2017,2
9,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,736702,8.0,2,8,-1,2017,2
10,3AsAuGTaDQzavZZThyYlop,Sexual,NEIKED,724654,7.0,2,7,-3,2017,2
11,0jVPEBd4wyHupkTHwzQRyc,Stranger,Peking Duk,695762,12.0,2,11,1,2017,2
12,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,678979,11.0,2,11,-1,2017,2
13,5v9N8Rx3QsFvr50cxyQcA3,Love$ick,Mura Masa,664636,16.0,2,13,3,2017,2
14,7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,656384,9.0,2,9,-5,2017,2
15,4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,644918,17.0,2,15,2,2017,2
16,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,636148,13.0,2,13,-3,2017,2
17,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,Zara Larsson,635206,18.0,2,17,1,2017,2
18,4rex1k9pBVFaIVKBBssZzi,Chameleon,PNAU,612552,36.0,2,18,18,2017,2
19,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,606016,10.0,2,10,-9,2017,2
20,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,600473,19.0,2,19,-1,2017,2
21,2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,585792,21.0,2,21,0,2017,2
22,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,583116,15.0,2,15,-7,2017,2
23,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,583009,25.0,2,23,2,2017,2
24,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,576637,14.0,2,14,-10,2017,2
25,343YBumqHu19cGoGARUTsd,Fake Love,Drake,564512,20.0,2,20,-5,2017,2
26,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,551777,22.0,2,22,-4,2017,2
27,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,550844,28.0,2,27,1,2017,2
28,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,540876,41.0,2,28,13,2017,2
29,43jBqV3j3Xi1g6wO0bhIMd,Now and Later,Sage The Gemini,526849,33.0,2,29,4,2017,2
30,0L87MffumRNWrY2SNUFcvs,Cocoon,Milky Chance,516510,31.0,2,30,1,2017,2
31,1cG0umU5TKStygKsPFZ9pY,Shed a Light,Robin Schulz,515373,34.0,2,31,3,2017,2
32,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,514323,24.0,2,24,-8,2017,2
33,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,514034,29.0,2,29,-4,2017,2
34,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,494454,27.0,2,27,-7,2017,2
35,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,491228,23.0,2,23,-12,2017,2
36,2bWrml86uwGVvznX8KKtwx,Catch 22 (feat. Anne-Marie),Illy,476232,32.0,2,32,-4,2017,2
37,4sQMalN597HdggTu196aL0,Say It (feat. Tove Lo),Flume,457453,30.0,2,30,-7,2017,2
38,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,Adele,426600,57.0,2,38,19,2017,2
39,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,423271,26.0,2,26,-13,2017,2
40,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,422825,39.0,2,39,-1,2017,2
41,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,419063,37.0,2,37,-4,2017,2
42,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,413122,38.0,2,38,-4,2017,2
43,2MHCiOohBZEQuLgDTPvSzF,Love on Me,Galantis,395970,43.0,2,43,0,2017,2
44,7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),Sia,395178,50.0,2,44,6,2017,2
45,3kxfsdsCpFgN412fpnW85Y,Redbone,Childish Gambino,394622,45.0,2,45,0,2017,2
